device,VG,VD,ID,IG,IS,W,L,gm,absIg,absId,Ca,mobLin,SS,d2
bot1,-5.0,0.1,-4.8744e-12,4.706e-11,-3.6690000000000005e-11,40,5,1.772000000000006e-11,4.706e-11,4.8744e-12,1.33e-07,0.0001665413533834,-1.9622337338178288,1.0934999999999954e-10
bot1,-4.9,0.1,-3.1024e-12,2.400000000000001e-12,4.87e-12,40,5,2.8654999999999968e-11,2.400000000000001e-12,3.1024e-12,1.33e-07,0.0002693139097744,-3.7757154752793074,7.903999999999948e-11
bot1,-4.8,0.1,8.566e-13,-2.5500000000000002e-12,-2.780000000000001e-12,40,5,3.352799999999997e-11,2.5500000000000002e-12,8.566e-13,1.33e-07,0.0003151127819548,0.324952885503009,-2.8396500000000006e-10
bot1,-4.7,0.1,3.6032e-12,-4.7510000000000006e-11,-9.78e-12,40,5,-2.81380000000001e-11,4.7510000000000006e-11,3.6032e-12,1.33e-07,-0.000264454887218,3.7291567324918815,-3.025750000000008e-10
bot1,-4.6000000000000005,0.1,-4.771e-12,2.3390000000000003e-11,3.566e-11,40,5,-2.6986999999999973e-11,2.3390000000000003e-11,4.771e-12,1.33e-07,-0.0002536372180451,-1.514087582477755,3.183900000000001e-10
bot1,-4.5,0.1,-1.7942e-12,2.52e-12,-1.0500000000000002e-12,40,5,3.5539999999999956e-11,2.52e-12,1.7942e-12,1.33e-07,0.0003340225563909,-1.5497535208334845,2.8412999999999936e-10
bot1,-4.4,0.1,2.337e-12,-1.8220000000000003e-11,-5.07e-12,40,5,2.983899999999997e-11,1.8220000000000003e-11,2.337e-12,1.33e-07,0.0002804417293233,1.833199856873192,-3.6194999999999925e-10
bot1,-4.3,0.1,4.1736e-12,-6.129e-11,-1.763e-11,40,5,-3.6849999999999955e-11,6.129e-11,4.1736e-12,1.33e-07,-0.0003463345864661,1.6658410900245608,-2.1544499999999959e-10
bot1,-4.2,0.1,-5.033e-12,1.69e-12,3.355e-11,40,5,-1.324999999999999e-11,1.69e-12,5.033e-12,1.33e-07,-0.0001245300751879,-2.1881992986270564,2.4652999999999946e-10
bot1,-4.1,0.1,1.5236e-12,-2.41e-12,9.100000000000002e-13,40,5,1.245599999999999e-11,2.41e-12,1.5236e-12,1.33e-07,0.0001170676691729,-1.4834277751709457,-7.709000000000017e-11
bot1,-4.0,0.1,-2.5418e-12,1.954e-11,4.82e-12,40,5,-2.8668000000000037e-11,1.954e-11,2.5418e-12,1.33e-07,-0.0002694360902255,2.2070556592338018,1.2512500000000046e-10
bot1,-3.9,0.1,-4.21e-12,6.046e-11,1.672e-11,40,5,3.748100000000005e-11,6.046e-11,4.21e-12,1.33e-07,0.0003522650375939,1.4492484581928198,2.0572500000000047e-10
bot1,-3.8,0.1,4.9544e-12,-1.3300000000000002e-12,-3.415e-11,40,5,1.2477000000000016e-11,1.3300000000000002e-12,4.9544e-12,1.33e-07,0.0001172650375939,-1.9505963822247656,-2.541300000000005e-10
bot1,-3.7,0.1,-1.7146e-12,2.74e-12,-8.400000000000002e-13,40,5,-1.3344999999999987e-11,2.74e-12,1.7146e-12,1.33e-07,-0.0001254229323308,-1.6801442197846213,8.23799999999997e-11
bot1,-3.6,0.1,2.2854e-12,-1.6650000000000002e-11,-4.42e-12,40,5,2.895299999999997e-11,1.6650000000000002e-11,2.2854e-12,1.33e-07,0.0002721146616541,1.880356779718369,-1.1438499999999982e-10
